,Unnamed: 0,excel,id,conversation_id,created_at,date,timezone,place,text,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,tweet,labels
482,482,482,1.25e+18,1.25e+18,1587320000000.0,19-04-2020 23:44,530,,"To drink coffee with a ghost.
#stayhome #staysafe #coffee #ghost #chair #o #midnight #chill #gathering #friends #people #bangalorediaries #art #friends #family #nature #life #living #corona #lockdown #day25â¦  https://www.instagram.com/p/B_LA-PdDCUy/?igshid=1ty4cmpxpxefrÂ â¦","['#stayhome', '#staysafe', '#coffee', '#ghost', '#chair', '#o', '#midnight', '#chill', '#gathering', '#friends', '#people', '#bangalorediaries', '#art', '#friends', '#family', '#nature', '#life', '#living', '#corona', '#lockdown', '#day25']",[],328551761.0,328551761.0,adharshmalayil,Adharsh Malayil,7,23,https://twitter.com/adharshmalayil/status/1251937175152865280,False,0,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '328551761', 'username': 'adharshmalayil'}]",,,,,drink   coffe   ghost   stayhom   staysaf   coffe   ghost   chair   midnight   chill   gather   friend   peopl   bangalorediari   art   friend   famili   natur   life   live   corona   lockdown   day  ,-1
510,510,510,1.25e+18,1.25e+18,1587320000000.0,19-04-2020 23:38,530,,"Barbers can be silent carriers of #Covid-19, warn medical experts. Don't visit any Barber. Use your home instruments to cut hair, shave beard includeÂ clippers, trimmers or scissors, combs. Disinfectant straight razors, hair dryers before use.

#StayHome #StaySafe pic.twitter.com/FHFQnf1914","['#covid', '#stayhome', '#staysafe']",[],214513742.0,214513742.0,irfanquraishi85,Irfan Quraishi,7,23,https://twitter.com/irfanquraishi85/status/1251935730609291270,False,4,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '214513742', 'username': 'irfanquraishi85'}]",,,,,barber   silent   carrier   covid   warn   medic   expert   visit   barber   use   home   instrument   cut   hair   shave   beard   includ   clipper   trimmer   scissor   comb   disinfect   straight   razor   hair   dryer   use   stayhom   staysaf  ,-1
534,534,534,1.25e+18,1.25e+18,1587320000000.0,19-04-2020 23:35,530,,"Here is our #Corona Holiday Movie Suggestion.

Watch the Tamil Film #Jiivi One of the best suspense thriller film. 

Available on Amazon Prime. Stay Home Stay Safe. 

#Tamil #movie #stayhome #staysafe #COVID19 pic.twitter.com/lpvk3xG2rW","['#corona', '#jiivi', '#tamil', '#movie', '#stayhome', '#staysafe', '#covid19']",[],207644938.0,207644938.0,visvickey,Vignesh Viswanathan,7,23,https://twitter.com/visvickey/status/1251934956923662337,False,1,0,1,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '207644938', 'username': 'visvickey'}]",,,,,corona   holiday   movi   suggest   watch   tamil   film   jiivi   one   best   suspens   thriller   film   avail   amazon   prime   stay   home   stay   safe   tamil   movi   stayhom   staysaf   covid  ,1
589,589,589,1.25e+18,1.25e+18,1587320000000.0,19-04-2020 23:27,530,,"Hello Friends
#RajGardenPlants #ROOKHRAJPAUDHSHALA
#memories #covid_19 #corona #IndiaFightsCorona #stayhome #staysafe #Shayari #love #ishc #pyar #poem #gazal #poetry #shayar #write #writing #write #kavi #kavitaâ¦  https://www.instagram.com/p/B_K_CTxHiIW/?igshid=6jdr686k1y71Â â¦","['#rajgardenplants', '#rookhrajpaudhshala', '#memories', '#covid_19', '#corona', '#indiafightscorona', '#stayhome', '#staysafe', '#shayari', '#love', '#ishc', '#pyar', '#poem', '#gazal', '#poetry', '#shayar', '#write', '#writing', '#write', '#kavi', '#kavita']",[],375747370.0,375747370.0,rajsol29,Raj Garden Plants,7,23,https://twitter.com/rajsol29/status/1251932917166682112,False,0,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '375747370', 'username': 'rajsol29'}]",,,,,hello   friend   rajgardenpl   rookhrajpaudhshala   memori   covid   corona   indiafightscorona   stayhom   staysaf   shayari   love   ishc   pyar   poem   gazal   poetri   shayar   write   write   write   kavi   kavita  ,0
606,606,606,1.25e+18,1.25e+18,1587320000000.0,19-04-2020 23:24,530,,"Hello Friends
#RajGardenPlants #covid_19 #corona #IndiaFightsCorona #stayhome #staysafe #Shayari #love #ishc #pyar #poem #gazal #poetry #shayar #write #writing #write #kavi #kavita #dard #heart #dil #heartbrokenâ¦  https://www.instagram.com/p/B_K-toiHqHN/?igshid=14oqwmhl7kpkxÂ â¦","['#rajgardenplants', '#covid_19', '#corona', '#indiafightscorona', '#stayhome', '#staysafe', '#shayari', '#love', '#ishc', '#pyar', '#poem', '#gazal', '#poetry', '#shayar', '#write', '#writing', '#write', '#kavi', '#kavita', '#dard', '#heart', '#dil', '#heartbroken']",[],375747370.0,375747370.0,rajsol29,Raj Garden Plants,7,23,https://twitter.com/rajsol29/status/1251932205468848130,False,0,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '375747370', 'username': 'rajsol29'}]",,,,,hello   friend   rajgardenpl   covid   corona   indiafightscorona   stayhom   staysaf   shayari   love   ishc   pyar   poem   gazal   poetri   shayar   write   write   write   kavi   kavita   dard   heart   dil   heartbroken  ,0
625,625,625,1.25e+18,1.25e+18,1587320000000.0,19-04-2020 23:21,530,,"Hello Friends
#RajGardenPlants #ROOKHRAJPAUDHSHALA
#memories #covid_19 #corona #IndiaFightsCorona #stayhome #staysafe #Shayari #love #ishc #pyar #poem #gazal #poetry #shayar #write #writing #write #kavi #kavitaâ¦  https://www.instagram.com/p/B_K-WHlnyk6/?igshid=17wk4mi34a0pkÂ â¦","['#rajgardenplants', '#rookhrajpaudhshala', '#memories', '#covid_19', '#corona', '#indiafightscorona', '#stayhome', '#staysafe', '#shayari', '#love', '#ishc', '#pyar', '#poem', '#gazal', '#poetry', '#shayar', '#write', '#writing', '#write', '#kavi', '#kavita']",[],375747370.0,375747370.0,rajsol29,Raj Garden Plants,7,23,https://twitter.com/rajsol29/status/1251931394063859712,False,0,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '375747370', 'username': 'rajsol29'}]",,,,,hello   friend   rajgardenpl   rookhrajpaudhshala   memori   covid   corona   indiafightscorona   stayhom   staysaf   shayari   love   ishc   pyar   poem   gazal   poetri   shayar   write   write   write   kavi   kavita  ,0
639,639,639,1.25e+18,1.25e+18,1587320000000.0,19-04-2020 23:18,530,,"Hello Friends
#RajGardenPlants #ROOKHRAJPAUDHSHALA
#memories #covid_19 #corona #IndiaFightsCorona #stayhome #staysafe #Shayari #love #ishc #pyar #poem #gazal #poetry #shayar #write #writing #write #kavi #kavitaâ¦  https://www.instagram.com/p/B_K-E0UHFNd/?igshid=1usf7uhw5pq8tÂ â¦","['#rajgardenplants', '#rookhrajpaudhshala', '#memories', '#covid_19', '#corona', '#indiafightscorona', '#stayhome', '#staysafe', '#shayari', '#love', '#ishc', '#pyar', '#poem', '#gazal', '#poetry', '#shayar', '#write', '#writing', '#write', '#kavi', '#kavita']",[],375747370.0,375747370.0,rajsol29,Raj Garden Plants,7,23,https://twitter.com/rajsol29/status/1251930802662838274,False,0,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '375747370', 'username': 'rajsol29'}]",,,,,hello   friend   rajgardenpl   rookhrajpaudhshala   memori   covid   corona   indiafightscorona   stayhom   staysaf   shayari   love   ishc   pyar   poem   gazal   poetri   shayar   write   write   write   kavi   kavita  ,0
704,704,704,1.25e+18,1.25e+18,1587320000000.0,19-04-2020 23:07,530,,We are all in this together fighting against covid-19 Let's Save the World ððð #Lockdown2 #COVID19 #CoronavirusOutbreak #awareness #IndiaFightsCorona #StayHomeIndia #StaySafeStayHealthy @WHO @PMOIndia @HemantSorenJMM @MoHFW_INDIA @dc_sahibganj @SahibganjIprd pic.twitter.com/JaVOxSrXjP,"['#lockdown2', '#covid19', '#coronavirusoutbreak', '#awareness', '#indiafightscorona', '#stayhomeindia', '#staysafestayhealthy']",[],7.76e+17,7.76e+17,abhaygupta150,Abhay Gupta,7,23,https://twitter.com/abhaygupta150/status/1251927834412679171,False,3,0,1,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '776029961626923008', 'username': 'abhaygupta150'}, {'user_id': '14499829', 'username': 'WHO'}, {'user_id': '471741741', 'username': 'PMOIndia'}, {'user_id': '951457762835337217', 'username': 'HemantSorenJMM'}, {'user_id': '2596143056', 'username': 'MoHFW_INDIA'}, {'user_id': '971624460024365056', 'username': 'dc_sahibganj'}]",,,,,togeth   fight   covid   let   save   world   lockdown   covid   coronavirusoutbreak   awar   indiafightscorona   stayhomeindia   staysafestayhealthi  ,-1
735,735,735,1.25e+18,1.25e+18,1587320000000.0,19-04-2020 23:00,530,,"""Home Quarantine Momo""ð #firsttry #momo #timepassð #stayhome #staysafe #fightcovid #takecare @ Thimphu, Bhutan  https://www.instagram.com/p/B_K8AN-AzFf/?igshid=1qf2lwg332lwjÂ â¦","['#firsttry', '#momo', '#timepass', '#stayhome', '#staysafe', '#fightcovid', '#takecare']",[],8.17e+17,8.17e+17,Welcome2Bhutan,Robin Gurung,7,23,https://twitter.com/Welcome2Bhutan/status/1251926246016991234,False,0,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '817485986833629184', 'username': 'Welcome2Bhutan'}]",,,,,home   quarantin   momo   firsttri   momo   timepass   stayhom   staysaf   fightcovid   takecar   thimphu   bhutan  ,-1
1016,1016,1016,1.25e+18,1.25e+18,1587400000000.0,20-04-2020 23:10,530,,@ROBChandigarh @BSF_Punjab @crpfindia @COVIDNewsByMIB #coronawarriors #coronavirusinindia Need such committed officers to win the war against #Corona. #StaySafe Get well soon Officer. âï¸Jai Hindâï¸ https://twitter.com/PunjabPoliceInd/status/1252288320400314368Â â¦,"['#coronawarriors', '#coronavirusinindia', '#corona', '#staysafe']",[],1376704638.0,1376704638.0,raizadaraj,Rajesh Chander Bali,1,23,https://twitter.com/raizadaraj/status/1252290998735998976,False,0,0,0,https://twitter.com/PunjabPoliceInd/status/1252288320400314368,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '1376704638', 'username': 'raizadaraj'}, {'user_id': '4752707640', 'username': 'ROBChandigarh'}, {'user_id': '1053178625418178562', 'username': 'BSF_Punjab'}, {'user_id': '756505518420660225', 'username': 'crpfindia'}, {'user_id': '1244892413262311425', 'username': 'COVIDNewsByMIB'}]",,,,,coronawarrior   coronavirusinindia   need   commit   offic   win   war   corona   staysaf   get   well   soon   offic   jai   hind  ,-1
1127,1127,1127,1.25e+18,1.25e+18,1587400000000.0,20-04-2020 22:51,530,Be Best Consultants,"The World is closed for renovation, Grand reopening soonð
Stay Home & Stay Safe
#Lockdown #Coronavirus #Covid19 #earthishealing #worlsisrenovation #Preventscorona #Bewareofcorona #Stayhome #Staysafe pic.twitter.com/fTqCsgCRCD â at Be Best Consultants","['#lockdown', '#coronavirus', '#covid19', '#earthishealing', '#worlsisrenovation', '#preventscorona', '#bewareofcorona', '#stayhome', '#staysafe']",[],54473651.0,54473651.0,mranganath,Ranganath Mummadi,1,22,https://twitter.com/mranganath/status/1252286277954629632,False,0,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '54473651', 'username': 'mranganath'}]",,,,,world   close   renov   grand   reopen   soon   stay   home   stay   safe   lockdown   coronaviru   covid   earthish   worlsisrenov   preventscorona   bewareofcorona   stayhom   staysaf   best   consult  ,1
1203,1203,1203,1.25e+18,1.25e+18,1587490000000.0,21-04-2020 23:49,530,Vasant vihar,"_Make In India - New Opportunities for India_ 
#covid19 #staysafe #makeinindia #buildingbetterbusinessesglobally

Looking forward to your kind comments and inputs

 *Opportunities for India in Post COVID 19 Scenario - Make in India 2.0* 
 https://www.linkedin.com/pulse/opportunities-india-post-covid-19-scenario-make-20-vaibhav-jain-Â â¦ â at Vasant vihar","['#covid19', '#staysafe', '#makeinindia', '#buildingbetterbusinessesglobally']",[],129541448.0,129541448.0,vaibhavjain_ca,CA Vaibhav Jain,2,23,https://twitter.com/vaibhavjain_ca/status/1252663301038731264,False,7,0,3,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '129541448', 'username': 'vaibhavjain_ca'}]",,,,,make   india   new   opportun   india   covid   staysaf   makeinindia   buildingbetterbusinessesglob   look   forward   kind   comment   input   opportun   india   post   covid   scenario   make   india   vasant   vihar  ,1
1316,1316,1316,1.25e+18,1.25e+18,1587490000000.0,21-04-2020 23:30,530,,"Let's spread the awareness against the corona virus
#coronastopkaronað·
#stayhome #staysafe @ Nizamabad, Telangana  https://www.instagram.com/p/B_QI5dxFuzy/?igshid=j8msbexkyc01Â â¦","['#coronastopkarona', '#stayhome', '#staysafe']",[],7.83e+17,7.83e+17,Yashs93,yash Sharma,2,23,https://twitter.com/Yashs93/status/1252658490377670660,False,0,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '782624882488070144', 'username': 'Yashs93'}]",,,,,let   spread   awar   corona   viru   coronastopkarona   stayhom   staysaf   nizamabad   telangana  ,-1
1504,1504,1504,1.25e+18,1.25e+18,1587490000000.0,21-04-2020 23:00,530,Gilbert Hill,"Sitting and doing nothing is not my genre. 
#COVIDã¼19 #coronavirus #lockdown #StaySafe #martialarts #tuesdayvibes #ArtistWheeinDay #weapons #fearless #strength #Practice #SocialDistancing pic.twitter.com/dM7GuAGFvx â at Gilbert Hill","['#covidã¼19', '#coronavirus', '#lockdown', '#staysafe', '#martialarts', '#tuesdayvibes', '#artistwheeinday', '#weapons', '#fearless', '#strength', '#practice', '#socialdistancing']",[],7.15e+17,7.15e+17,iam___RSA,Ravi Shankar Azad(RSA),2,23,https://twitter.com/iam___RSA/status/1252650940554977289,False,0,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '714792409498910721', 'username': 'iam___RSA'}]",,,,,sit   noth   genr   covid   coronaviru   lockdown   staysaf   martialart   tuesdayvib   artistwheeinday   weapon   fearless   strength   practic   socialdistanc   gilbert   hill  ,-1
1515,1515,1515,1.25e+18,1.25e+18,1587490000000.0,21-04-2020 22:58,530,,The @moayush has come up with specific alternative medication that you can follow after checking with your doc. #Ayurveda #Unani #Homeopathy #Siddha #Coronavirus #AYUSH @IndiaToday #StayHome #StaySafe https://twitter.com/IndiaToday/status/1252645909944586242Â â¦,"['#ayurveda', '#unani', '#homeopathy', '#siddha', '#coronavirus', '#ayush', '#stayhome', '#staysafe']",[],20899069.0,20899069.0,Chaiti,Chaiti Narula,2,22,https://twitter.com/Chaiti/status/1252650413964136448,False,1,0,1,https://twitter.com/IndiaToday/status/1252645909944586242,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '20899069', 'username': 'Chaiti'}, {'user_id': '2650295678', 'username': 'moayush'}, {'user_id': '19897138', 'username': 'IndiaToday'}]",,,,,come   specif   altern   medic   follow   check   doc   ayurveda   unani   homeopathi   siddha   coronaviru   ayush   stayhom   staysaf  ,0
1536,1536,1536,1.25e+18,1.25e+18,1587490000000.0,21-04-2020 22:56,530,,"#lockdown #evening #remembering_mukeshji
#à¤­à¥à¤²à¥_à¤¹à¥à¤_à¤¯à¤¾à¤¦à¥à¤
#staysafe #stayhome #lets_defeat_corona @ New Delhi  https://www.instagram.com/p/B_QEyzBHQk5/?igshid=or5qeh0bikdgÂ â¦","['#lockdown', '#evening', '#remembering_mukeshji', '#à¤­à¥à¤²à¥_à¤¹à¥à¤_à¤¯à¤¾à¤¦à¥à¤', '#staysafe', '#stayhome', '#lets_defeat_corona']",[],2336555154.0,2336555154.0,ac_pandey,Anup Chandra Pandey,2,22,https://twitter.com/ac_pandey/status/1252649831337689088,False,1,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '2336555154', 'username': 'ac_pandey'}]",,,,,lockdown   even   rememb   mukeshji   staysaf   stayhom   let   defeat   corona   new   delhi  ,-1
