,emo,labels,sentiment,text,tweet_id,normalized_text
43,,1,,you really represent why don’ you speak for your kids have broadband you don’ give damn about rest the people aren’ our studies  because this low speed internet work from home possible ,,realli   repres   speak   kid   broadband   give   damn   rest   peopl   studi   speed   internet   work   home   possibl  
44,,-1,,work from home kindly follow @ bangalore india igshid h1gxuu06ggj …,,work   home   kindli   follow   bangalor   india   igshid   hgxuuggj  
45,,1,,please wave off all taxes for home essentaials and medicine till recover from corona ,,pleas   wave   tax   home   essentai   medicin   till   recov   corona  
46,,1,,sir have any idea apart from pointing govt not saying correct lockdown understand very tough situation point your just talking have any idea suggest govt think something useful for people apart frm this blame game else home safely ,,idea   apart   point   govt   say   correct   lockdown   understand   tough   situat   point   talk   idea   suggest   govt   think   someth   use   peopl   apart   blame   game   els   home   safe  
47,,1,,got more work from home than had office ,,work   home   offic  
48,,-1,,can stop phupho from coming home during this lockdown please ,,stop   phupho   e   home   lockdown   pleas  
49,,1,,staying home for prevention from covid epidemic pic twitter com fpplmjnysr,,stay   home   prevent   covid   epidem   twitter   fpplmjnysr  
50,,1,,"sir from surat and have information about one corona person city near home have goenka international school there foreigner living that school among them one person have corona positive please call this 
",,surat   inform   corona   person   citi   near   home   goenka   intern   school   foreign   live   school   among   person   corona   posit   pleas   call  
51,,1,,’ been week are working serving our million customers from home requires maintain structured routine ensure work life balance …,,week   work   serv   million   custom   home   requir   maintain   structur   routin   ensur   work   life   balanc  
52,,1,,work from home and not work home pic twitter com r8kdom4tl9,,work   home   work   home   twitter   rkdomtl  
53,,-1,,let sonia gandhi rahul gandhi and robert vadra start distributing their accumulated wealth poor people charity begins from home why can start helping poor people one banglow occupied this family spared isolation ward for covid patients convey them …,,sonia   gandhi   rahul   gandhi   robert   vadra   start   distribut   accumul   wealth   poor   peopl   chariti   begin   home   start   help   poor   peopl   banglow   occupi   famili   spare   isol   ward   covid   patient   convey  
54,,1,,and the lockdown isn’ affecting much graphic designing and branding work from home and timely delivery guaranteed  …,,lockdown   affect   much   graphic   design   brand   work   home   time   deliveri   guarante  
55,,1,,after implementing section 144 lockdown people are still roaming colaba market without any precautions and strong reason for being out the moment police van goes for patrolling the people start coming out from home pic twitter com imjetilyy3,,implement   section   lockdown   peopl   still   roam   colaba   market   without   precaut   strong   reason   moment   polic   go   patrol   peopl   start   e   home   twitter   imjetilyy  
56,,-1,,due corona virus lockdown country addressed honorable that situation has give opportunity work from home are working from home and helping our customers also required all help from teleperformance management,,corona   viru   lockdown   countri   address   honor   situat   give   opportun   work   home   work   home   help   custom   also   requir   help   teleperform   manag  
57,,-1,,giving gyan from balcony star home different than managing 130 people dare you come and manage the ground one village you won able enforce elitist gang keep your vip privileges aside for some time india needs full lockdown else thousands may die …,,give   gyan   balconi   star   home   differ   manag   peopl   dare   e   manag   ground   villag   abl   enforc   elitist   gang   keep   privileg   asid   time   india   need   full   lockdown   els   thousand   die  
58,,1,,also working from home but being professional how should work with such poor internet speed will lose job won deliver with your internet can even login aws account ,,also   work   home   profession   work   poor   internet   speed   lose   deliv   internet   even   login   account  
59,,1,,the ceo wework dear sir during covid situation there are millions people working from home why don you invent outsource sone kind movable office cabins spaces box which can installed homes and are noise proof this hit trust ,,wework   dear   covid   situat   million   peopl   work   home   invent   outsourc   sone   kind   movabl   offic   cabin   space   instal   home   nois   proof   trust  
60,,1,,calcutta big basket claims that they are still awaiting permission from local authorities despite the centre making clear that home delivery services need encouraged make the lockdown success pls get govt allow big basket deliver …,,calcutta   basket   claim   still   await   permiss   local   author   despit   centr   make   clear   home   deliveri   servic   need   encourag   make   lockdown   success   get   govt   allow   basket   deliv  
61,,1,,work from home activated  … igshid 16ger8f6j29j7 …,,work   home   activ   igshid   gerfjj  
62,,-1,,when everyone fighting covid working from home how could someone from domain work with such poor internet speed you are providing please explain ,,everyon   fight   covid   work   home   could   someon   domain   work   poor   internet   speed   provid   pleas   explain  
63,,-1,,airtel hotspot not working trying connect customer care but unable reach them can someone help priority doing work from home ,,airtel   hotspot   work   tri   connect   custom   care   unabl   reach   someon   help   prioriti   work   home  
64,,-1,,work from home client want talk your boss right now man honey you there client wants talk you,,work   home   client   want   talk   bo   right   man   honey   client   want   talk  
65,,1,,this speaks for itself work from home @ max events dubai igshid 1kud708vctt99 …,,speak   work   home   event   dubai   igshid   kudvctt  
66,,1,,hello dear sir due electricity cuts issue area each day work from home not working here this humble request you that please don power cuts during days lockdown otherwise have office during lockdown ,,hello   dear   due   electr   cut   issu   area   work   home   work   humbl   request   pleas   power   cut   day   lockdown   otherwis   offic   lockdown  
67,,-1,,"ghordi highly populated area and many people coming back home from outside humbly request saab udhampur kindly make quarantine centre ghordi and kindly depute officers incharge officers along with please consider sir
wishav dev singh pres ghordi ",,ghordi   highli   popul   area   mani   peopl   e   back   home   outsid   humbl   request   saab   udhampur   kindli   make   quarantin   centr   ghordi   kindli   deput   offic   incharg   offic   along   pleas   consid   wishav   sh   pre   ghordi  
68,,-1,,very pathetic speed here how work from home pls refund money – thillai kali amman koil,,pathet   speed   work   home   refund   money   thillai   kali   amman   koil  
69,,1,,dear chef minister shri vijay bhai mother stuck ahmedabad right now and can come back home bhavnagar how can take back mother from ahmedabad bhavnagar during this lockdown situation please help ,,dear   chef   minist   shri   vijay   bhai   mother   stuck   ahmedabad   right   e   back   home   bhavnagar   take   back   mother   ahmedabad   bhavnagar   lockdown   situat   pleas   help  
70,,1,,daughters are backbone family working far from home and baba cardiac patient medicines were exhausting and didi crossed odisha andhra border and brought medicines from apollo store and happy father was almost tears video call ,,daughter   backbon   famili   work   home   baba   cardiac   patient   medicin   exhaust   didi   cross   odisha   andhra   border   brought   medicin   apollo   store   happi   father   almost   tear   video   call  
71,,-1,,even finding difficult work from home …,,even   find   difficult   work   home  
72,,-1,,jabki company work from home permit already kar diya hai delhi government mujhe bataye bina ghar nikle work from without internet kaise karun address dabri extension new delhi ,,jabki   pani   work   home   permit   alreadi   diya   delhi   govern   mujh   batay   bina   ghar   nikl   work   without   internet   kais   karun   address   dabri   extens   delhi  
73,,-1,,work from home krna possible nahi rha hai kyunki new connections liye internet service provider lockdown reason bna avi connection krne mana diya hai ,,work   home   krna   possibl   nahi   hai   kyunki   connect   liy   internet   servic   provid   lockdown   reason   avi   connect   krne   mana   diya   hai  
74,,-1,,some people from peaceful religion dont want stay home pic twitter com nojl01bcoj,,peopl   peac   religion   dont   want   stay   home   twitter   nojlbcoj  
75,,-1,,respected sir please address our issues electricity from last hrs narhe area pune don able work from home ,,respect   pleas   address   issu   electr   last   narh   area   pune   abl   work   home  
76,,1,,sir are also follow the same work from home and support india ,,also   follow   work   home   support   india  
77,,-1,,just returned from market thousands ppl outside even without mask distance please deploy security personnel arrange home delivery otherwise there point lockdown curfew all this second time when tried report you ,,return   market   thousand   outsid   even   without   mask   distanc   pleas   deploy   secur   personnel   arrang   home   deliveri   otherwis   point   lockdown   curfew   second   time   tri   report  
78,,-1,,how are you doing this period hope you are all staying put home now that you are working from home which usually anyway and have the entire family stuck home can see… igshid 1d0ijxblu791p …,,period   hope   stay   home   work   home   usual   anyway   entir   famili   stuck   home   see   igshid   dijxblup  
79,,1,,"nation can join the fight against coronavirus covid staying home  practicing social distance wishing you all good health happiness from the den corbett resort team 
stay… igshid 16bmmq7aufwt7 …",,nation   join   fight   coronaviru   covid   stay   home   practic   social   distanc   wish   good   health   happi   den   corbett   resort   team   stay   igshid   bmmqaufwt  
80,,1,,need urgent work from home think about mankind pic twitter com npptigif3f,,need   urgent   work   home   think   mankind   twitter   npptigiff  
81,,1,,motivation what gets you started habit what keeps you going  stay home and take care yourself and your family from covid will adding videos home workouts stay healthy and get fit and… igshid 14g3jtlaec7ct …,,motiv   get   start   habit   keep   go   stay   home   take   care   famili   covid   ad   video   home   workout   stay   healthi   get   igshid   gjtlaecct  
82,,1,,sir two friends are finding way home they not getting letter from nearest police station too its already two days please help they work here ibm they stay hostel kondapur please help sir,,friend   find   home   get   letter   nearest   polic   station   alreadi   day   pleas   help   work   stay   hostel   kondapur   pleas   help   sir  
83,,1,,sir our govt doing great job came home recently from melbourne and under quarantine now 13th day health officers mro thadwai kmr chandapoor sarpanch are monitoring health regular basis will win this bio war sir kcr hope,,govt   great   came   home   recent   melbourn   quarantin   th   health   offic   thadwai   chandapoor   sarpanch   monitor   health   regular   basi   war   kcr   hope  
84,,1,,sir want home because were doing job delhi but entire city lockdown for days now very frustrated and dipressed from here kindly requested want home from family pls sir something contact 8299181671,,want   home   delhi   entir   citi   lockdown   day   frustrat   dipress   kindli   request   want   home   famili   sir   someth   contact  
85,,1,,sir son heading organisation odd employees mohali they were asked work from home but not given enough time shift computers home would request ask the captain district magistrate issue him passes for few the technical staff ,,head   organis   employe   mohali   ask   work   home   given   enough   time   shift   put   home   would   request   captain   district   magistr   issu   pass   technic   staff  
86,,1,,students parents and managed connect with this apps after trying for minutes know not easy run this study from home programme for parents esp they have work… igshid 1wgenj376ytqy …,,student   parent   manag   connect   app   tri   minut   know   easi   studi   home   programm   parent   work   igshid   wgenjytqi  
87,,1,,"petrol lpg power generation transmission
all other eastblishment may work from home  – nazafgarh",,petrol   power   gener   transmiss   eastblish   work   home   nazafgarh  
88,,-1,,online studies online startup work from home but not possible with ,,onlin   studi   onlin   startup   work   home   possibl  
89,,-1,,stay home you begin feel unwell even with mild symptoms such headache and slight runny nose until you recover why avoiding contact with others will help protect you and others from possible covid and other viruses pic twitter com 4kgd9fjbjw,,stay   home   begin   feel   unwel   even   mild   symptom   headach   slight   runni   nose   recov   avoid   contact   other   help   protect   other   possibl   covid   viru   twitter   kgdfjbjw  
90,,-1,,effect work from home ,,effect   work   home  
91,,1,,when you work from home there such thing holiday @ ahmedabad india igshid 1emzs97ib2dhw …,,work   home   th   holiday   ahmedabad   india   igshid   emzsibdhw  
92,,1,,are doing everything that asked curb the spread now the right time for the show some compassion towards the people and restore that can work study from home without any turmoil and contribute ,,everyth   ask   curb   spread   right   time   show   pass   toward   peopl   restor   work   studi   home   without   turmoil   contribut  
93,,1,,here subject not our prime minister competence rather the competence 140 crores population our stay home for saving one life from nation glorious history who made supreme sacrifices for the last 1100 years odd dont say bad words,,subject   prime   minist   pet   rather   pet   crore   popul   stay   home   save   life   nation   gloriou   histori   made   suprem   sacrific   last   year   dont   bad   word  
94,,1,,india embraces the remote work culture during ongoing covid epidemic here crucial tips for working from home …,,india   embrac   remot   work   cultur   ongo   covid   epidem   crucial   tip   work   home  
95,,1,,received call from namma maligai that police not allowing home delivery grocery coimbatore this not against section disaster mngt act home delivery essential meet the objective lockdown ,,receiv   call   namma   maligai   polic   allow   home   deliveri   groceri   coimbator   section   disast   mngt   home   deliveri   essenti   meet   object   lockdown  
96,,1,,work from home @ aligarh muslim university igshid 1bssg7r5z6pr8 …,,work   home   aligarh   muslim   univers   igshid   bssgrzpr  
97,,-1,,during this lockdown period are bound for work from home but network very poor still complaining since year but progress yet data speed worst voice network also not good pic twitter com tubhr9jle5,,lockdown   period   bound   work   home   network   poor   still   plain   sinc   year   progress   data   speed   worst   voic   network   also   good   twitter   tubhrjl  
98,,1,,stay home save yourself and your family from covid …,,stay   home   save   famili   covid  
99,,1,,sir internet not working electricity continuously going off 1st day lockdown people who are working from home are also suffering they will not work during lockdown india will face serious job crises sector …,,internet   work   electr   continu   go   st   lockdown   peopl   work   home   also   suffer   work   lockdown   india   face   seriou   crisi   sector  
100,,1,,none the employees from these sectors can found sitting their home and enjoying the lockdown the country needs salute the coal miners the energy sector workers who risk their lives keep this country running ,,none   employe   sector   found   sit   home   enjoy   lockdown   countri   need   salut   coal   miner   energi   sector   worker   risk   life   keep   countri   run  
101,,1,,take care people and work from home  … igshid bj6wol70xgu4 …,,take   care   peopl   work   home   igshid   bjwolxgu  
102,,1,,day official holiday work from home ’ ugadi guys self isolation home prevent family traveled hometown march ,,offici   holiday   work   home   ugadi   guy   self   isol   home   prevent   famili   travel   hometown   march  
103,,-1,,tobacco and alcohol products should also list essential commodities most the people who are roaming the road without any reason are really searching for these items need fight from corona now and this will help staying home for every one  …,,tobacco   alcohol   product   also   list   essenti   mod   peopl   roam   road   without   reason   realli   search   item   need   fight   corona   help   stay   home   everi  
104,,-1,,due corona lockdown and corfew people are avoiding out side from home and cash flow also disturbed public prioritising daily needs and medical emergency conditions they kept emis payments hold please instruct bank relax asset classification till june,,corona   lockdown   corfew   peopl   avoid   side   home   cash   flow   also   disturb   public   prioritis   daili   need   medic   emerg   condit   kept   emi   payment   hold   pleas   instruct   bank   relax   asset   classif   till   june  
105,,-1,,time ban newspapers from our lives apart from cutting trees☘ our papers are also home dangerous  chemicals and deadly corona virus …,,time   newspap   life   apart   cut   tree   paper   also   home   danger   chemic   deadli   corona   viru  
106,,-1,,coronavirus lockdown gujarat labourers walk back home from rajasthan ones delhi seek help online utm source amp utm medium utm campaign amp …,,coronaviru   lockdown   gujarat   labour   walk   back   home   rajasthan   one   delhi   seek   help   onlin   sourc   utm   medium   campaign  
107,,-1,,given the lockdown work from home does work what closed book screen deals track close more deals before 31st march all you part our creative ecosystem not lag keep pushing and turn this day period into opportunity,,given   lockdown   work   home   work   close   book   screen   deal   track   close   deal   st   march   part   creativ   ecosystem   lag   keep   push   turn   period   opportun  
108,,-1,,sir kindly help wanted back kolkata are from kolkata due lockdown are unable reach home something for are not form other state abroad allow back kolkata ,,kindli   help   want   back   kolkata   kolkata   lockdown   unabl   reach   home   someth   form   state   abroad   allow   back   kolkata  
109,,-1,,sir are experiencing unusual electricity cut from yesterday 24th march please note our substation 0850 mulshi all know country lockdown period and most people work from home,,experienc   unusu   electr   yesterday   th   march   pleas   note   substat   mulshi   know   countri   lockdown   period   peopl   work   home  
110,,-1,,must watch video tamil don stay home 86k ppl will affected india the next days 000 ppl next days results are predicted based data ppl affected india from mar3 ,,must   watch   video   tamil   stay   home   k   affect   india   next   day   next   day   result   predict   base   data   affect   india   mar  
111,,1,,stay home stay safe you will stay home you are completely safe then there will need panic spreading this harmful corona virus please stay home stay safe for next days starting from you thank you ,,stay   home   stay   safe   stay   home   plet   safe   need   panic   spread   harm   corona   viru   pleas   stay   home   stay   safe   next   day   start   thank  
112,,1,,respected admin brother jaisalmer quarantine camp they landed from iran delhi 16th march and were taken the camp for quarantine for days just want know the middle this lockdown how will they sent home please help with the information ,,respect   admin   brother   jaisalm   quarantin   camp   land   iran   delhi   th   march   taken   camp   quarantin   day   want   know   middl   lockdown   sent   home   pleas   help   inform  
113,,1,,teatment related doctor nurse etc own life dangerous with work many air piylote and other staff police staff etc own life dangerous with works own life safety for not any people removed from the home proper cleaning and safety step with control the situation …,,teatment   relat   doctor   nurs   life   danger   work   mani   piylot   staff   polic   staff   life   danger   work   life   safeti   peopl   remov   home   proper   clean   safeti   step   control   situat  
114,,1,,name harsh verma from bareilly and declaring self quarantine won visiting anyone and requesting humbly not visit  won leave home unless its urgent responsible citizen india and will play role stopping the,,name   harsh   verma   bareilli   declar   self   quarantin   visit   anyon   request   humbl   visit   leav   home   unless   urgent   respons   citizen   india   play   role   stop  
115,,1,,need information about jio work from home plan which 251 please assist unable reach you ,,need   inform   work   home   plan   pleas   assist   unabl   reach  
116,,1,,stay home day  society blames the virus but the world healing from pollution and global warming during all these lockdown were the virus all along  iphone  credit igshid 1p6cuj365f41o …,,stay   home   societi   blame   viru   world   heal   pollut   global   warm   lockdown   viru   along   iphon   credit   igshid   pcujfo  
117,,1,,want get new broadband service work from home ready all transactions and process through online but help getting connection thanks advance …,,want   new   broadband   servic   work   home   readi   transact   process   onlin   help   get   connect   thank   advanc  
118,,1,,now get call from 92116 60055 and told since there lockdown people are not available and servers are not working work with media house and working from home this really sad this how treat custmrs ,,call   told   sinc   lockdown   peopl   avail   server   work   work   medium   hous   work   home   realli   treat   custmr  
119,,1,,there are many people who came back from dubai recently they have put themselves home quarantine for days plz take care sir ,,mani   peopl   came   back   dubai   recent   home   quarantin   day   take   care   sir  
120,,1,,work from home holidays break,,work   home   holiday   break  
121,,1,,you pls encourage people stay home till days lockdown completed know the symptoms might not come out till days from the infection …,,encourag   peopl   stay   home   till   day   lockdown   plet   know   symptom   might   e   till   day   infect  
122,,1,,may people won get corona virus because work from home wfh but once will over they will understand how animals feel zoo respect animal freedom and let them live freely jungle ,,peopl   get   corona   viru   work   home   understand   anim   feel   respect   anim   freedom   let   live   freeli   jungl  
123,,1,,sir support support but kindly for making stay home and work from home convenient …,,support   support   kindli   make   stay   home   work   home   conveni  
124,,1,,work from home interesting and today exploring bit more breaks than usual wife busy back back calls nice make tea for her @ wellington estate igshid 1f7ig6xt3mitt …,,work   home   interest   today   explor   break   usual   wife   busi   back   back   call   nice   make   wellton   estat   igshid   figxtmitt  
125,,1,,this the best system work from home …,,best   system   work   home  
126,,-1,,please cancel the work from home option till india gets rid that can stay safe and donot need bother about the frequent power cuts ,,pleas   cancel   work   home   option   till   india   get   stay   safe   donot   need   bother   frequent   power   cut  
127,,1,,exercise yoga work from home reading cooking indoor games with daughter ,,exercis   yoga   work   home   read   cook   indoor   game   daughter  
128,,1,,like ahmedabad support from dungarpur home maid servant due lockdown work hence migarting think all urban give solution save rural ,,like   ahmedabad   support   dungarpur   home   maid   servant   lockdown   work   henc   migart   think   urban   give   solut   save   rural  
129,,-1,,ghanta did many complaints but change internet speed how supposed work from home – rachna society,,ghanta   mani   plaint   chang   internet   speed   suppos   work   home   rachna   societi  
130,,1,,hours almost without response thats how you plan support customers during the lockdown internet how are supposed work from home pic twitter com fvqr65psup – rajender nagar ghaziabad,,hour   almost   without   respons   that   plan   support   custom   lockdown   internet   suppos   work   home   twitter   fvqrpsup   rajend   nagar   ghaziabad  
131,,1,,state survives people state human resource important todays world work from home manageable except small team ,,state   surviv   peopl   state   human   resourc   import   today   world   work   home   manag   except   small   team  
132,,1,,work from home for kashmiri employees like …,,work   home   kashmiri   employe   like  
133,,1,,this day year ago outdoor cinema years ago london years ago abu dhabi years ago portugal years ago london now just work from home which have for longer cause some you just can stay home when they have the privilege ,,year   outdoor   cinema   year   london   year   abu   dhabi   year   portug   year   london   work   home   longer   caus   stay   home   privileg  
134,,1,,please raise this issue people are stress they are not getting groceries exhausted work from home people freelancing are suffered they have money  …,,pleas   rais   issu   peopl   stress   get   groceri   exhaust   work   home   peopl   freelanc   suffer   money  
135,,1,,home workout work from home,,home   workout   work   home  
136,,1,,you can simply work from home and spend hours instead normal hours,,simpli   work   home   spend   hour   instead   normal   hour  
137,,1,,work from home work for home  …,,work   home   work   home  
138,,1,,should computer hardware included essential services internet many complaining that their laptops not working and there way fix the same without tech help work from home not happening ,,put   hardwar   includ   essenti   servic   internet   mani   plain   laptop   work   fix   without   tech   help   work   home   happen  
139,,-1,,getting very low speed 9136903403 corporate sim and company give for work from home not doing any work due low speed 9838459608 please resolve issue urgent pin code 221103 ,,get   speed   corpor   pani   give   work   home   work   low   speed   pleas   resolv   issu   urgent   code  
140,,1,,hello everyone you work from home please don use this location please resolve issues home everyone having connection issue everyone frustrated now – garva inn,,hello   everyon   work   home   pleas   use   locat   pleas   resolv   issu   home   everyon   connect   issu   everyon   frustrat   garva   inn  
141,,1,,"series
work from home fad govt offices like peons making tea for themselves home ",,seri   work   home   govt   offic   like   peon   make   home  
142,,1,,work from home,,work   home  
143,,1,,stay home well don panic but take precautions for covid incase any emergency outing keep distance from other people and wash your hands properly please read below dua daily “allah humma inni auzubika minal barsi wal jununi wal zuzami min sai ascom” ,,stay   home   well   panic   take   precaut   covid   incas   emerg   out   keep   distanc   peopl   wash   hand   properli   pleas   read   daili   allah   humma   inni   auzubika   minal   barsi   jununi   zuzami   sai   as  
144,,1,,dear what about the people working private sectors please issue police for the salary people who can work from home ,,dear   peopl   work   privat   sector   pleas   issu   polic   salari   peopl   work   home  
145,,1,,work from home playlist for today kfzisfvu1qy … ,,work   home   playlist   today   kfzisfvuqi  
146,,-1,,because have work from home pls give monthly more than for months because daily per person 40gb use office kindly help – sankari,,work   home   give   monthli   month   daili   person   gb   offic   kindli   help   sankari  
147,,1,,ुीा्ा्ा ा्ि ुे्ा let welcome the new year the concept liberation from corona let abide the rules security destroy corona stay home stay safe please don screw this follow pic twitter com vh70a8g2yl,,wel   new   year   concept   liber   corona   abid   rule   secur   destroy   corona   stay   home   stay   safe   pleas   screw   follow   twitter   vhagyl  
148,,1,,thought here tweet regarding one day worldcup not for t20 shut and stay home safe from corona disease ,,thought   tweet   regard   day   worldcup   shut   stay   home   safe   corona   diseas  
